Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
50,2.0,0.0,315.0,10.0,17.0,1734.0,0.0,1505.5087211881876,1505.5087211881876,0.0,178.00875687599182,,,,,,,,,,,,,,,,662.2594516106368,517.261105970323,1495.7460565673741,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,372.0,11.0,57.0,1791.0,0.0,4999.147854310055,4999.147854310055,0.0,182.30109691619873,,,,,,,,,,,,,,,,2109.759045294854,1446.113390583031,4883.775364092343,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,397.0,12.0,25.0,1816.0,0.0,1905.335259903961,1905.335259903961,0.0,184.42448210716248,,,,,,,,,,,,,,,,771.7662641771628,614.9350992561536,1887.929032331864,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,430.0,13.0,33.0,1849.0,0.0,3863.384720176166,3863.384720176166,0.0,187.12476086616516,,,,,,,,,,,,,,,,1471.9735913775703,1236.9487965212143,3818.628219880587,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,463.0,14.0,33.0,1882.0,0.0,1773.6368644628878,1773.6368644628878,0.0,189.83320140838623,,,,,,,,,,,,,,,,625.595298297859,583.9171177341042,1754.7469665856433,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,493.0,15.0,30.0,1912.0,0.0,2477.473731527694,2477.473731527694,0.0,192.25808930397034,,,,,,,,,,,,,,,,902.6777344019301,747.0747019435943,2452.8462457413757,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,511.0,16.0,18.0,1930.0,0.0,1945.9086450377952,1945.9086450377952,0.0,193.97539734840393,,,,,,,,,,,,,,,,823.3093488798756,578.6312941170079,1933.0220988568144,-0.044954990009999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,566.0,17.0,55.0,1985.0,0.0,5465.36091538576,5465.36091538576,0.0,198.13552379608154,,,,,,,,,,,,,,,,2594.5738138218853,1733.500185074834,5327.987342968524,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,614.0,18.0,48.0,2033.0,0.0,5518.155797141717,5518.155797141717,0.0,202.09464049339294,,,,,,,,,,,,,,,,2958.7472563408605,1719.0596461153618,5381.5174462836385,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,630.0,19.0,16.0,2049.0,0.0,1943.9983369928623,1943.9983369928623,0.0,203.70734071731567,,,,,,,,,,,,,,,,789.4142381727564,628.7648360459121,1933.3010101922907,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,673.0,20.0,43.0,2092.0,0.0,3940.9445351573127,3940.9445351573127,0.0,207.04062223434448,,,,,,,,,,,,,,,,1303.152286142939,1172.2210771638404,3888.7977846378044,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,29.0,1.0,29.0,2121.0,0.0,3927.885171453954,3927.885171453954,0.0,225.0481014251709,,,,,,,,,,,,,,,,1612.1366832333517,1242.3280194471304,3885.0182258660534,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,53.0,2.0,24.0,2145.0,0.0,2700.5112560069956,2700.5112560069956,0.0,227.16087222099304,,,,,,,,,,,,,,,,1023.3450322172533,845.4755341651615,2678.629604838621,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,113.0,3.0,60.0,2205.0,0.0,4492.403611797945,4492.403611797945,0.0,231.70844745635986,,,,,,,,,,,,,,,,2232.225090438538,1240.9665018036364,4362.832939310946,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,169.0,4.0,56.0,2261.0,0.0,5473.5997824411115,5473.5997824411115,0.0,236.17684030532837,,,,,,,,,,,,,,,,2184.115914942589,1734.0922316157232,5356.64593714147,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,234.0,5.0,65.0,2326.0,0.0,6623.5723376440155,6623.5723376440155,0.0,241.1408019065857,,,,,,,,,,,,,,,,2501.308641780697,2072.8148247471668,6467.454730658928,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,277.0,6.0,43.0,2369.0,0.0,5524.964614679209,5524.964614679209,0.0,244.74269437789917,,,,,,,,,,,,,,,,2536.241274832108,1626.8386977268417,5421.327567428861,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,311.0,7.0,34.0,2403.0,0.0,2976.1612539858274,2976.1612539858274,0.0,247.582293510437,,,,,,,,,,,,,,,,1019.928939110079,929.7574331044997,2944.428098154239,-0.1871622212685309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,331.0,8.0,20.0,2423.0,0.0,1894.5457218916524,1894.5457218916524,0.0,249.55427169799805,,,,,,,,,,,,,,,,837.8805639070154,610.6485600894604,1879.6677783919042,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,368.0,9.0,37.0,2460.0,0.0,3503.516349484043,3503.516349484043,0.0,252.46219730377197,,,,,,,,,,,,,,,,1518.6001036524297,1033.70641804528,3450.7789245734766,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,405.0,10.0,37.0,2497.0,0.0,4175.085849413852,4175.085849413852,0.0,255.4306354522705,,,,,,,,,,,,,,,,1902.122872000981,1375.82326614005,4108.816119269084,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,453.0,11.0,48.0,2545.0,0.0,5837.563431990063,5837.563431990063,0.0,259.13288044929504,,,,,,,,,,,,,,,,2890.928926039666,1662.4987016472157,5704.503346887049,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,494.0,12.0,41.0,2586.0,0.0,2983.436589634387,2983.436589634387,0.0,262.3731379508972,,,,,,,,,,,,,,,,946.5537987020656,906.9984118144877,2947.575459346948,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,527.0,13.0,33.0,2619.0,0.0,2433.0788691002813,2433.0788691002813,0.0,265.10090351104736,,,,,,,,,,,,,,,,762.8131228465752,666.6837685890971,2410.3163523987428,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,548.0,14.0,21.0,2640.0,0.0,1918.590333977694,1918.590333977694,0.0,267.06063532829285,,,,,,,,,,,,,,,,678.7448904295821,597.9305933549404,1906.2429342128848,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,571.0,15.0,23.0,2663.0,0.0,1916.6411480912825,1916.6411480912825,0.0,269.1164243221283,,,,,,,,,,,,,,,,646.479192572251,627.6367938568576,1903.6758024645853,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
