Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,680.0,8.0,29.0,2447.0,0.0,2477.7325498211717,2477.7325498211717,0.0,210.3987159729004,,,,,,,,,,,,,,,,1121.4543297830926,808.47115328334,2447.658032289752,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,718.0,9.0,38.0,2485.0,0.0,2787.4166645874743,2787.4166645874743,0.0,213.40397214889526,,,,,,,,,,,,,,,,1181.7564039103836,780.5818833672921,2745.2551764152945,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,758.0,10.0,40.0,2525.0,0.0,2632.4013538363183,2632.4013538363183,0.0,216.58335947990417,,,,,,,,,,,,,,,,1395.957436264381,930.9849641263057,2579.1421985843276,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,822.0,11.0,64.0,2589.0,0.0,7331.827165847257,7331.827165847257,0.0,221.36184215545654,,,,,,,,,,,,,,,,3802.2550473310175,1945.9529914687225,7095.578421239308,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,892.0,12.0,70.0,2659.0,0.0,5321.592904347709,5321.592904347709,0.0,226.79838752746582,,,,,,,,,,,,,,,,2341.351439147338,1447.0466591006991,5162.8611647721655,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,942.0,13.0,50.0,2709.0,0.0,3892.270922599575,3892.270922599575,0.0,230.5966761112213,,,,,,,,,,,,,,,,1617.3564630155486,1018.7059067675957,3815.218317766566,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,1006.0,14.0,64.0,2773.0,0.0,3339.347595120906,3339.347595120906,0.0,235.4560284614563,,,,,,,,,,,,,,,,1119.8078339939273,880.7012378336265,3270.9508445898837,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,1066.0,15.0,60.0,2833.0,0.0,4461.549308028833,4461.549308028833,0.0,240.0929901599884,,,,,,,,,,,,,,,,1918.6227376149147,1153.2543932386247,4350.782726498437,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,1121.0,16.0,55.0,2888.0,0.0,4678.232775366106,4678.232775366106,0.0,244.26975750923157,,,,,,,,,,,,,,,,2191.8524839834,1310.1253092029667,4562.243131878898,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,1158.0,17.0,37.0,2925.0,0.0,4277.502118567646,4277.502118567646,0.0,247.3017337322235,,,,,,,,,,,,,,,,2022.914240444467,1323.0263391231626,4206.861152824025,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
